Stichtag,Berlin,Mitte,"Friedrichs-
hain-
Kreuz-
berg",Pankow,"Charlotten-
burg-
Wilmers-
dorf",Spandau,"Steglitz-
Zehlen-
dorf","Tempel-
hof-
Schöne-
berg",Neukölln,"Treptow-
Köpenick","Marzahn-
Hellers-
dorf","Lichten-
berg","Reinicken-
dorf"
12/31/2007,2 883 854, 230 469, 200 487, 327 985, 251 304, 193 641, 256 184, 274 225, 234 564, 227 142, 237 231, 231 894, 218 728
12/31/2008,2 892 792, 232 969, 201 834, 330 695, 251 310, 193 677, 256 678, 274 664, 236 186, 228 715, 235 608, 232 497, 217 959
12/31/2009,2 909 485, 236 032, 203 487, 333 234, 251 864, 194 213, 257 901, 275 686, 238 898, 230 309, 235 860, 234 416, 217 585
12/31/2010,2 929 756, 238 573, 205 644, 336 938, 252 672, 195 674, 259 633, 276 806, 241 889, 231 546, 237 046, 235 471, 217 864
12/31/2011,2 948 902, 241 590, 207 928, 339 311, 253 609, 196 731, 260 633, 277 627, 245 136, 232 960, 238 834, 236 561, 217 982
12/31/2012,2 965 676, 244 113, 209 007, 341 744, 254 748, 197 563, 261 301, 278 193, 247 423, 234 118, 240 360, 238 277, 218 829
12/31/2013,2 978 695, 246 898, 209 873, 344 476, 254 788, 198 107, 262 124, 279 111, 248 564, 234 886, 241 028, 239 745, 219 095
12/31/2014,2 988 824, 249 437, 210 327, 346 895, 254 874, 198 260, 262 294, 279 723, 249 199, 236 585, 241 123, 240 455, 219 652
12/31/2015,2 989 081, 250 026, 210 027, 348 356, 254 598, 197 423, 261 585, 279 672, 248 687, 237 311, 240 963, 241 459, 218 974
12/31/2016,2 993 881, 250 476, 209 391, 349 723, 255 008, 196 798, 262 923, 280 094, 247 626, 239 543, 240 340, 242 566, 219 393
12/31/2017,3 000 648, 251 890, 209 525, 350 578, 256 101, 196 237, 263 934, 280 342, 246 942, 242 587, 240 427, 243 375, 218 710
12/31/2018,2 999 676, 252 387, 210 230, 350 790, 256 083, 195 576, 263 280, 279 882, 246 076, 244 524, 240 417, 242 822, 217 609
12/31/2019,2 992 150, 252 933, 209 557, 350 230, 255 252, 194 733, 262 629, 278 687, 244 617, 245 757, 239 406, 242 241, 216 108
