Stichtag,Berlin,Mitte,"Friedrichs-
hain-
Kreuz-
berg",Pankow,"Charlotten-
burg-
Wilmers-
dorf",Spandau,"Steglitz-
Zehlen-
dorf","Tempel-
hof-
Schöne-
berg",Neukölln,"Treptow-
Köpenick","Marzahn-
Hellers-
dorf","Lichten-
berg","Reinicken-
dorf"
12/31/2007,42.5,39.6,37.2,40.4,45.3,44.1,45.4,43.7,41.5,44.9,41.6,42.9,44.8
12/31/2008,42.6,39.5,37.2,40.4,45.4,44.3,45.6,43.9,41.6,45.0,42.1,43.1,45.0
12/31/2009,42.7,39.4,37.2,40.6,45.5,44.4,45.8,44.0,41.5,45.2,42.4,43.1,45.1
12/31/2010,42.8,39.2,37.2,40.6,45.6,44.4,45.8,44.1,41.3,45.3,42.7,43.2,45.2
12/31/2011,42.8,39.2,37.2,40.7,45.7,44.4,46.0,44.1,41.2,45.4,42.9,43.3,45.2
12/31/2012,42.8,39.1,37.3,40.8,45.7,44.5,46.1,44.1,41.2,45.5,43.1,43.3,45.2
12/31/2013,42.9,39.1,37.5,40.8,45.8,44.4,46.2,44.1,41.2,45.5,43.3,43.2,45.1
12/31/2014,42.9,39.1,37.7,40.8,45.8,44.3,46.4,44.2,41.3,45.5,43.5,43.3,45.1
12/31/2015,42.8,39.0,37.7,40.7,45.6,44.0,46.3,44.0,41.2,45.3,43.5,43.0,45.0
12/31/2016,42.7,38.9,37.8,40.7,45.5,43.7,46.2,43.9,41.3,45.0,43.6,42.7,44.7
12/31/2017,42.7,38.9,37.9,40.7,45.6,43.7,46.2,44.0,41.4,44.8,43.5,42.6,44.7
12/31/2018,42.7,38.9,38.1,40.8,45.6,43.7,46.3,44.0,41.4,44.7,43.7,42.5,44.7
12/31/2019,42.8,39.0,38.2,40.9,45.7,43.6,46.3,44.0,41.6,44.5,43.8,42.4,44.7
